id,listing_name,street,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,host_id
594693,Private room in peaceful space,"South St, Boston, MA 02130, United States",Jamaica Plain,02130,42.307974813109155,-71.11622135298697,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,70.0,350.0,1300.0,,10.0,1,10.0,,3,23,53,328,23,93.0,9.0,8.0,10.0,10.0,10.0,9.0,False,False,strict,2139546
2384581,"Loft bedroom, sleeps 2","Holbrook Street, Boston, MA 02130, United States",Jamaica Plain,02130,42.309356585821945,-71.11682730260223,House,Private room,2,1.0,1.0,1.0,Real Bed,95.0,,,,,1,20.0,,30,60,90,365,14,93.0,9.0,9.0,10.0,10.0,10.0,9.0,False,False,flexible,12083797
735970,Part of a Large Condo Jamaica Plain,"Beaufort Rd, Boston, MA 02130, United States",Jamaica Plain,02130,42.316912213905745,-71.1130254234823,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,55.0,350.0,,,,1,0.0,,0,0,0,0,3,100.0,10.0,9.0,9.0,9.0,10.0,10.0,False,False,flexible,3840038
4262255,Beautiful and sunny condo ,"Rossmore Road, Boston, MA 02130, United States",Jamaica Plain,02130,42.303984557617724,-71.10449360644688,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,80.0,,,,,1,0.0,,0,8,26,301,57,99.0,10.0,10.0,10.0,10.0,10.0,10.0,False,False,moderate,21873698
4000384,Sunlit room with private bath,"Copley Street, Boston, MA 02119, United States",Jamaica Plain,02119,42.31632875548343,-71.09909641577437,House,Private room,2,1.0,1.0,1.0,Real Bed,120.0,,,,,1,0.0,,7,17,47,109,58,97.0,10.0,10.0,10.0,10.0,9.0,10.0,False,False,flexible,10910804
6693305,"Bed, Bath and Beyond III in JP","Forbes Street, Boston, MA 02130, United States",Jamaica Plain,02130,42.320022523679384,-71.10594049773768,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,65.0,,,,,1,0.0,,0,0,0,0,1,100.0,10.0,8.0,10.0,10.0,10.0,10.0,False,False,flexible,14303759
6730758,Private studio by subway w/parking,"Minton Street, Boston, MA 02130, United States",Jamaica Plain,02130,42.31451961008171,-71.10558689277725,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,100.0,600.0,,,,2,20.0,,1,3,3,23,46,97.0,10.0,10.0,10.0,10.0,9.0,10.0,False,False,moderate,207475
6248970,Spacious room convenient to subway,"Mozart St, Boston, MA 02130, United States",Jamaica Plain,02130,42.321719666668685,-71.10345881692874,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,65.0,400.0,,,,1,0.0,,7,13,43,43,68,96.0,10.0,9.0,10.0,10.0,9.0,10.0,False,False,moderate,32449720
14246616,"Cozy Room off Centre St, JP!","Forbes Street, Boston, MA 02130, United States",Jamaica Plain,02130,42.31951000434093,-71.10537660326158,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,63.0,,,,,1,0.0,,0,0,0,0,3,73.0,9.0,5.0,10.0,10.0,9.0,9.0,False,False,flexible,5055078
3703674,Private floor in Jamaica Plain home,"Saint John Street, Boston, MA 02130, United States",Jamaica Plain,02130,42.3152745679209,-71.11331605532412,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,75.0,,,200.0,,1,0.0,,0,0,0,250,4,100.0,9.0,10.0,10.0,9.0,10.0,9.0,False,False,flexible,9350281
4792901,Spacious room in secluded townhouse,"Goodrich Road, Boston, MA 02130, United States",Jamaica Plain,02130,42.315499530265065,-71.11706562488624,House,Private room,2,1.0,1.0,1.0,Real Bed,65.0,250.0,850.0,,10.0,1,25.0,,0,0,0,0,2,90.0,9.0,9.0,9.0,9.0,10.0,9.0,False,False,strict,24701232
5717528,Charming Victorian near T,"Chestnut Avenue, Boston, MA 02130, United States",Jamaica Plain,02130,42.31690480739987,-71.10519470648515,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,110.0,500.0,1600.0,,,1,0.0,,11,41,71,346,7,94.0,10.0,10.0,10.0,9.0,9.0,9.0,False,False,strict,7394101
5601743,"Beautiful, Expansive Space in JP","Marmion Street, Boston, MA 02130, United States",Jamaica Plain,02130,42.31189728557806,-71.10315398376997,House,Private room,2,1.0,1.0,1.0,Real Bed,46.0,210.0,1000.0,200.0,50.0,2,25.0,,8,32,62,62,18,82.0,8.0,7.0,9.0,9.0,9.0,8.0,False,True,strict,19280995
